frase,target
o sistema foi atualizado com sucesso,0
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
Os dados foram inseridos corretamente Obrigado!,0
"Por favor, o orçamento foi aprovado pela diretoria",0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
RESPONDA IMEDIATAMENTE PARA EVITAR PENALIDADES,1
"Por favor, o backup foi realizado conforme solicitado",0
"Detectamos uma atividade suspeita, verifique sua conta",1
Houve uma atualização no cronograma,0
"Sua conta foi comprometida, acesse aqui para restaurar",1
Houve uma atualização no cronograma.,0
último aviso: seu acesso será bloqueado em 24h,1
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
"Por favor, temos uma reunião agendada para amanhã",0
"Precisamos validar sua identidade, acesse o formulário Obrigado!",1
A entrega está prevista para sexta-feira Obrigado!,0
vamos revisar os indicadores de desempenho,0
Re: Precisamos de mais informações sobre o projeto,0
"Parabéns, você ganhou um prêmio! Responda agora",1
o orçamento foi aprovado pela diretoria,0
"DETECTAMOS UMA ATIVIDADE SUSPEITA, VERIFIQUE SUA CONTA",1
Vamos revisar os indicadores de desempenho Obrigado!,0
Re: Precisamos de mais informações sobre o projeto,0
Vamos revisar os indicadores de desempenho Obrigado!,0
Re: Vamos reagendar a reunião da semana passada,0
A entrega está prevista para sexta-feira Obrigado!,0
o sistema foi atualizado com sucesso,0
"Por favor, o backup foi realizado conforme solicitado",0
Precisamos de mais informações sobre o projeto.,0
Re: Vamos reagendar a reunião da semana passada,0
O orçamento foi aprovado pela diretoria Obrigado!,0
O login foi realizado com sucesso.,0
"Solicitação de reembolso pendente, envie dados bancários Obrigado!",1
os dados foram inseridos corretamente,0
Recebemos seu pedido e está em processamento.,0
obrigado pela atenção e colaboração,0
Re: O login foi realizado com sucesso,0
"Por favor, você precisa redefinir sua senha agora",1
Último aviso: seu acesso será bloqueado em 24h Obrigado!,1
Re: O fornecedor confirmou o envio do material,0
"Por favor, a entrega está prevista para sexta-feira",0
Temos uma reunião agendada para amanhã Obrigado!,0
clique aqui para ativar seu novo benefício,1
O login foi realizado com sucesso.,0
Vamos revisar os indicadores de desempenho Obrigado!,0
"Seu certificado digital expirou, atualize-o aqui.",1
Aguardamos a confirmação da proposta,0
"Por favor, por favor, envie os dados da pesquisa",0
"Por favor, o backup foi realizado conforme solicitado",0
"Por favor, os dados foram inseridos corretamente",0
PARABÉNS PELA ENTREGA DO PROJETO,0
"Por favor, o sistema foi atualizado com sucesso",0
Re: O treinamento será iniciado às 14h,0
"Por favor, vamos revisar os indicadores de desempenho",0
Segue o relatório solicitado.,0
Re: O login foi realizado com sucesso,0
"Por favor, envie os dados da pesquisa Obrigado!",0
"Por favor, o orçamento foi aprovado pela diretoria",0
Parabéns pela entrega do projeto.,0
o backup foi realizado conforme solicitado,0
"Re: Detectamos uma atividade suspeita, verifique sua conta",1
Houve uma atualização no cronograma.,0
Você precisa redefinir sua senha agora,1
A entrega está prevista para sexta-feira,0
último aviso: seu acesso será bloqueado em 24h,1
Você precisa redefinir sua senha agora Obrigado!,1
O login foi realizado com sucesso.,0
O fornecedor confirmou o envio do material.,0
O backup foi realizado conforme solicitado Obrigado!,0
Os dados foram inseridos corretamente Obrigado!,0
Re: O fornecedor confirmou o envio do material,0
Re: Parabéns pela entrega do projeto,0
Re: Precisamos de mais informações sobre o projeto,0
"Precisamos validar sua identidade, acesse o formulário",1
"Por favor, o orçamento foi aprovado pela diretoria",0
Re: Recebemos seu pedido e está em processamento,0
Precisamos de mais informações sobre o projeto.,0
"Por favor, obrigado pela atenção e colaboração",0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
"encaminhe o comprovante de pagamento, por favor",0
O sistema foi atualizado com sucesso Obrigado!,0
PARABÉNS PELA ENTREGA DO PROJETO,0
"Por favor, o sistema foi atualizado com sucesso",0
obrigado pela atenção e colaboração,0
"Por favor, encaminhe o comprovante de pagamento, por favor",0
"Por favor, atualize suas informações bancárias imediatamente",1
Confirme seus dados para liberar o acesso,1
O treinamento será iniciado às 14h.,0
os dados foram inseridos corretamente,0
"PARABÉNS, VOCÊ GANHOU UM PRÊMIO! RESPONDA AGORA",1
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
Precisamos de mais informações sobre o projeto.,0
Vamos revisar os indicadores de desempenho Obrigado!,0
O orçamento foi aprovado pela diretoria Obrigado!,0
O LOGIN FOI REALIZADO COM SUCESSO,0
Re: Segue o relatório solicitado,0
PARABÉNS PELA ENTREGA DO PROJETO,0
"Por favor, o orçamento foi aprovado pela diretoria",0
Último aviso: seu acesso será bloqueado em 24h,1
"Por favor, vamos revisar os indicadores de desempenho",0
"SEUS DADOS ESTÃO EM RISCO, CLIQUE AQUI PARA PROTEGER",1
Parabéns pela entrega do projeto.,0
O orçamento foi aprovado pela diretoria Obrigado!,0
O orçamento foi aprovado pela diretoria Obrigado!,0
Vamos reagendar a reunião da semana passada.,0
O sistema foi atualizado com sucesso Obrigado!,0
O sistema foi atualizado com sucesso Obrigado!,0
"SUA CONTA FOI COMPROMETIDA, ACESSE AQUI PARA RESTAURAR",1
"Re: Sua conta será suspensa, clique aqui para evitar",1
Aguardamos a confirmação da proposta.,0
Re: Precisamos de mais informações sobre o projeto,0
"encaminhe o comprovante de pagamento, por favor",0
O treinamento será iniciado às 14h.,0
Os dados foram inseridos corretamente Obrigado!,0
SEGUE O RELATÓRIO SOLICITADO,0
"Identificamos uma falha, envie seus dados para resolver Obrigado!",1
Recebemos seu pedido e está em processamento.,0
"SEUS DADOS ESTÃO EM RISCO, CLIQUE AQUI PARA PROTEGER",1
O backup foi realizado conforme solicitado Obrigado!,0
"Por favor, envie os dados da pesquisa Obrigado!",0
"Por favor, por favor, envie os dados da pesquisa",0
"Por favor, temos uma reunião agendada para amanhã",0
"Por favor, encaminhe o comprovante de pagamento, por favor",0
Responda imediatamente para evitar penalidades,1
"Por favor, clique aqui para ativar seu novo benefício",1
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
"Encaminhe o comprovante de pagamento, por favor",0
vamos revisar os indicadores de desempenho,0
Vamos revisar os indicadores de desempenho Obrigado!,0
O login foi realizado com sucesso.,0
"PARABÉNS, VOCÊ GANHOU UM PRÊMIO! RESPONDA AGORA",1
Você precisa redefinir sua senha agora Obrigado!,1
"Por favor, identificamos uma falha, envie seus dados para resolver",1
"encaminhe o comprovante de pagamento, por favor",0
O sistema foi atualizado com sucesso Obrigado!,0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
O login foi realizado com sucesso,0
"solicitação de reembolso pendente, envie dados bancários",1
o sistema foi atualizado com sucesso,0
O treinamento será iniciado às 14h.,0
"Recebemos uma solicitação incomum, clique aqui para detalhes",1
Precisamos de mais informações sobre o projeto.,0
"Por favor, a entrega está prevista para sexta-feira",0
"Por favor, por favor, envie os dados da pesquisa",0
Re: O login foi realizado com sucesso,0
"Seu pagamento foi recusado, acesse o portal para corrigir",1
Recebemos seu pedido e está em processamento.,0
Vamos revisar os indicadores de desempenho Obrigado!,0
A entrega está prevista para sexta-feira Obrigado!,0
Os dados foram inseridos corretamente Obrigado!,0
O fornecedor confirmou o envio do material,0
obrigado pela atenção e colaboração,0
Re: O treinamento será iniciado às 14h,0
Segue o relatório solicitado.,0
Re: Precisamos de mais informações sobre o projeto,0
Temos uma reunião agendada para amanhã Obrigado!,0
O backup foi realizado conforme solicitado Obrigado!,0
o backup foi realizado conforme solicitado,0
"Por favor, clique no link abaixo para desbloquear sua conta",1
a entrega está prevista para sexta-feira,0
"RECEBEMOS UMA SOLICITAÇÃO INCOMUM, CLIQUE AQUI PARA DETALHES",1
"Por favor, o sistema foi atualizado com sucesso",0
obrigado pela atenção e colaboração,0
clique no link abaixo para desbloquear sua conta,1
a entrega está prevista para sexta-feira,0
O treinamento será iniciado às 14h.,0
Re: Reenvie sua senha para continuar acessando,1
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
Responda imediatamente para evitar penalidades.,1
Parabéns pela entrega do projeto.,0
"Por favor, temos uma reunião agendada para amanhã",0
Parabéns pela entrega do projeto.,0
O login foi realizado com sucesso.,0
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
"Detectamos uma atividade suspeita, verifique sua conta.",1
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
o backup foi realizado conforme solicitado,0
Re: Recebemos seu pedido e está em processamento,0
Houve uma atualização no cronograma.,0
"Por favor, clique no link abaixo para desbloquear sua conta",1
Recebemos seu pedido e está em processamento.,0
Re: Reenvie sua senha para continuar acessando,1
o orçamento foi aprovado pela diretoria,0
"Detectamos uma atividade suspeita, verifique sua conta.",1
Segue o relatório solicitado,0
Precisamos de mais informações sobre o projeto.,0
"Por favor, a entrega está prevista para sexta-feira",0
Re: Parabéns pela entrega do projeto,0
Vamos reagendar a reunião da semana passada,0
Re: Vamos reagendar a reunião da semana passada,0
"Seu certificado digital expirou, atualize-o aqui",1
"Identificamos uma falha, envie seus dados para resolver",1
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
Re: Precisamos de mais informações sobre o projeto,0
Obrigado pela atenção e colaboração Obrigado!,0
você precisa redefinir sua senha agora,1
Houve uma atualização no cronograma.,0
Re: Aguardamos a confirmação da proposta,0
PARABÉNS PELA ENTREGA DO PROJETO,0
Re: Recebemos seu pedido e está em processamento,0
"Sua conta foi comprometida, acesse aqui para restaurar.",1
"Por favor, os dados foram inseridos corretamente",0
Re: Segue o relatório solicitado,0
o backup foi realizado conforme solicitado,0
"Por favor, identificamos uma falha, envie seus dados para resolver",1
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
o orçamento foi aprovado pela diretoria,0
Recebemos seu pedido e está em processamento,0
"Solicitação de reembolso pendente, envie dados bancários Obrigado!",1
temos uma reunião agendada para amanhã,0
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
Aguardamos a confirmação da proposta.,0
"SEU CERTIFICADO DIGITAL EXPIROU, ATUALIZE-O AQUI",1
O treinamento será iniciado às 14h.,0
O sistema foi atualizado com sucesso Obrigado!,0
Re: Aguardamos a confirmação da proposta,0
Re: Precisamos de mais informações sobre o projeto,0
"Solicitação de reembolso pendente, envie dados bancários",1
o sistema foi atualizado com sucesso,0
"Por favor, os dados foram inseridos corretamente",0
Temos uma reunião agendada para amanhã Obrigado!,0
Clique no link abaixo para desbloquear sua conta Obrigado!,1
"Por favor, encaminhe o comprovante de pagamento, por favor",0
Os dados foram inseridos corretamente Obrigado!,0
"Por favor, envie os dados da pesquisa Obrigado!",0
obrigado pela atenção e colaboração,0
"Por favor, o orçamento foi aprovado pela diretoria",0
O fornecedor confirmou o envio do material.,0
o orçamento foi aprovado pela diretoria,0
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
"Por favor, o backup foi realizado conforme solicitado",0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
Temos uma reunião agendada para amanhã,0
A entrega está prevista para sexta-feira Obrigado!,0
obrigado pela atenção e colaboração,0
O fornecedor confirmou o envio do material.,0
"Por favor, temos uma reunião agendada para amanhã",0
Clique no link abaixo para desbloquear sua conta,1
Atualize suas informações bancárias imediatamente,1
Obrigado pela atenção e colaboração Obrigado!,0
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
"Identificamos uma falha, envie seus dados para resolver Obrigado!",1
Re: Houve uma atualização no cronograma,0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
"Por favor, obrigado pela atenção e colaboração",0
"Por favor, vamos revisar os indicadores de desempenho",0
Vamos reagendar a reunião da semana passada.,0
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
Segue o relatório solicitado.,0
SEGUE O RELATÓRIO SOLICITADO,0
"Por favor, obrigado pela atenção e colaboração",0
"Por favor, os dados foram inseridos corretamente",0
O backup foi realizado conforme solicitado Obrigado!,0
Re: Segue o relatório solicitado,0
"Re: Seu certificado digital expirou, atualize-o aqui",1
Confirme seus dados para liberar o acesso Obrigado!,1
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
vamos revisar os indicadores de desempenho,0
o orçamento foi aprovado pela diretoria,0
Os dados foram inseridos corretamente Obrigado!,0
temos uma reunião agendada para amanhã,0
O sistema foi atualizado com sucesso Obrigado!,0
"Por favor, obrigado pela atenção e colaboração",0
"por favor, envie os dados da pesquisa",0
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
O fornecedor confirmou o envio do material.,0
"Por favor, por favor, envie os dados da pesquisa",0
O backup foi realizado conforme solicitado Obrigado!,0
"Re: Seu pagamento foi recusado, acesse o portal para corrigir",1
O login foi realizado com sucesso.,0
os dados foram inseridos corretamente,0
temos uma reunião agendada para amanhã,0
PARABÉNS PELA ENTREGA DO PROJETO,0
"Sua conta será suspensa, clique aqui para evitar.",1
Parabéns pela entrega do projeto.,0
"Re: Seu certificado digital expirou, atualize-o aqui",1
"Por favor, vamos revisar os indicadores de desempenho",0
Segue o relatório solicitado.,0
REENVIE SUA SENHA PARA CONTINUAR ACESSANDO,1
"Por favor, envie os dados da pesquisa",0
confirme seus dados para liberar o acesso,1
Obrigado pela atenção e colaboração Obrigado!,0
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
"Por favor, encaminhe o comprovante de pagamento, por favor",0
Segue o relatório solicitado.,0
Parabéns pela entrega do projeto.,0
Re: O login foi realizado com sucesso,0
Precisamos de mais informações sobre o projeto,0
SEGUE O RELATÓRIO SOLICITADO,0
"Por favor, último aviso: seu acesso será bloqueado em 24h",1
Re: Aguardamos a confirmação da proposta,0
a entrega está prevista para sexta-feira,0
"Re: Parabéns, você ganhou um prêmio! Responda agora",1
Re: Aguardamos a confirmação da proposta,0
Precisamos de mais informações sobre o projeto.,0
Re: Aguardamos a confirmação da proposta,0
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
Re: Recebemos seu pedido e está em processamento,0
Re: Vamos reagendar a reunião da semana passada,0
"Por favor, por favor, envie os dados da pesquisa",0
Re: Segue o relatório solicitado,0
Re: Parabéns pela entrega do projeto,0
"Por favor, encaminhe o comprovante de pagamento, por favor",0
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
O orçamento foi aprovado pela diretoria Obrigado!,0
"por favor, envie os dados da pesquisa",0
A entrega está prevista para sexta-feira Obrigado!,0
Re: Houve uma atualização no cronograma,0
Aguardamos a confirmação da proposta.,0
Temos uma reunião agendada para amanhã Obrigado!,0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
vamos revisar os indicadores de desempenho,0
AGUARDAMOS A CONFIRMAÇÃO DA PROPOSTA,0
Re: O treinamento será iniciado às 14h,0
temos uma reunião agendada para amanhã,0
Os dados foram inseridos corretamente Obrigado!,0
acesse o documento urgente antes que expire,1
"Por favor, confirme seus dados para liberar o acesso",1
PARABÉNS PELA ENTREGA DO PROJETO,0
o sistema foi atualizado com sucesso,0
temos uma reunião agendada para amanhã,0
Confirme seus dados para liberar o acesso Obrigado!,1
Clique aqui para ativar seu novo benefício,1
O LOGIN FOI REALIZADO COM SUCESSO,0
"Por favor, envie os dados da pesquisa Obrigado!",0
"Por favor, a entrega está prevista para sexta-feira",0
Temos uma reunião agendada para amanhã Obrigado!,0
"por favor, envie os dados da pesquisa",0
O sistema foi atualizado com sucesso Obrigado!,0
Obrigado pela atenção e colaboração Obrigado!,0
"por favor, envie os dados da pesquisa",0
o sistema foi atualizado com sucesso,0
Vamos revisar os indicadores de desempenho,0
Re: Houve uma atualização no cronograma,0
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
"por favor, envie os dados da pesquisa",0
Re: Precisamos de mais informações sobre o projeto,0
Re: O treinamento será iniciado às 14h,0
SEGUE O RELATÓRIO SOLICITADO,0
"Por favor, o backup foi realizado conforme solicitado",0
Re: Recebemos seu pedido e está em processamento,0
Segue o relatório solicitado.,0
Aguardamos a confirmação da proposta.,0
"encaminhe o comprovante de pagamento, por favor",0
PARABÉNS PELA ENTREGA DO PROJETO,0
O fornecedor confirmou o envio do material.,0
"Por favor, o backup foi realizado conforme solicitado",0
O login foi realizado com sucesso.,0
Reenvie sua senha para continuar acessando.,1
Re: Houve uma atualização no cronograma,0
Re: O treinamento será iniciado às 14h,0
O sistema foi atualizado com sucesso Obrigado!,0
Re: Vamos reagendar a reunião da semana passada,0
O orçamento foi aprovado pela diretoria Obrigado!,0
Aguardamos a confirmação da proposta.,0
Re: O fornecedor confirmou o envio do material,0
"por favor, envie os dados da pesquisa",0
PARABÉNS PELA ENTREGA DO PROJETO,0
Re: O treinamento será iniciado às 14h,0
Re: Parabéns pela entrega do projeto,0
Recebemos seu pedido e está em processamento.,0
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
"Por favor, o sistema foi atualizado com sucesso",0
Houve uma atualização no cronograma.,0
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
"precisamos validar sua identidade, acesse o formulário",1
"Re: Sua conta foi comprometida, acesse aqui para restaurar",1
Temos uma reunião agendada para amanhã Obrigado!,0
clique no link abaixo para desbloquear sua conta,1
"Por favor, o orçamento foi aprovado pela diretoria",0
Parabéns pela entrega do projeto.,0
"Por favor, envie os dados da pesquisa Obrigado!",0
Acesse o documento urgente antes que expire Obrigado!,1
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
Obrigado pela atenção e colaboração Obrigado!,0
Obrigado pela atenção e colaboração Obrigado!,0
Parabéns pela entrega do projeto,0
"Por favor, envie os dados da pesquisa Obrigado!",0
Re: O fornecedor confirmou o envio do material,0
O treinamento será iniciado às 14h.,0
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
"Re: Seus dados estão em risco, clique aqui para proteger",1
acesse o documento urgente antes que expire,1
O treinamento será iniciado às 14h,0
a entrega está prevista para sexta-feira,0
o backup foi realizado conforme solicitado,0
O LOGIN FOI REALIZADO COM SUCESSO,0
Houve uma atualização no cronograma.,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
a entrega está prevista para sexta-feira,0
"SEU PAGAMENTO FOI RECUSADO, ACESSE O PORTAL PARA CORRIGIR",1
confirme seus dados para liberar o acesso,1
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
"SUA CONTA FOI COMPROMETIDA, ACESSE AQUI PARA RESTAURAR",1
Os dados foram inseridos corretamente,0
o backup foi realizado conforme solicitado,0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
Re: O treinamento será iniciado às 14h,0
A entrega está prevista para sexta-feira Obrigado!,0
Atualize suas informações bancárias imediatamente Obrigado!,1
O LOGIN FOI REALIZADO COM SUCESSO,0
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
"Seus dados estão em risco, clique aqui para proteger",1
Re: Segue o relatório solicitado,0
"Precisamos validar sua identidade, acesse o formulário Obrigado!",1
"Re: Seus dados estão em risco, clique aqui para proteger",1
Houve uma atualização no cronograma.,0
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
Re: Aguardamos a confirmação da proposta,0
O fornecedor confirmou o envio do material.,0
"Por favor, vamos revisar os indicadores de desempenho",0
"Por favor, o backup foi realizado conforme solicitado",0
O backup foi realizado conforme solicitado Obrigado!,0
RECEBEMOS SEU PEDIDO E ESTÁ EM PROCESSAMENTO,0
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
Re: Vamos reagendar a reunião da semana passada,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
"Por favor, solicitação de reembolso pendente, envie dados bancários",1
A entrega está prevista para sexta-feira Obrigado!,0
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
Houve uma atualização no cronograma.,0
"Por favor, obrigado pela atenção e colaboração",0
"encaminhe o comprovante de pagamento, por favor",0
"Por favor, o sistema foi atualizado com sucesso",0
"Por favor, a entrega está prevista para sexta-feira",0
O orçamento foi aprovado pela diretoria Obrigado!,0
"Por favor, temos uma reunião agendada para amanhã",0
Re: Recebemos seu pedido e está em processamento,0
O orçamento foi aprovado pela diretoria Obrigado!,0
"identificamos uma falha, envie seus dados para resolver",1
Os dados foram inseridos corretamente Obrigado!,0
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
Vamos reagendar a reunião da semana passada.,0
"Por favor, temos uma reunião agendada para amanhã",0
atualize suas informações bancárias imediatamente,1
"Encaminhe o comprovante de pagamento, por favor Obrigado!",0
Re: Recebemos seu pedido e está em processamento,0
o orçamento foi aprovado pela diretoria,0
"Por favor, encaminhe o comprovante de pagamento, por favor",0
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
O FORNECEDOR CONFIRMOU O ENVIO DO MATERIAL,0
"Por favor, obrigado pela atenção e colaboração",0
"Por favor, precisamos validar sua identidade, acesse o formulário",1
Re: Vamos reagendar a reunião da semana passada,0
Clique aqui para ativar seu novo benefício Obrigado!,1
HOUVE UMA ATUALIZAÇÃO NO CRONOGRAMA,0
Re: Houve uma atualização no cronograma,0
"precisamos validar sua identidade, acesse o formulário",1
Re: O login foi realizado com sucesso,0
temos uma reunião agendada para amanhã,0
O LOGIN FOI REALIZADO COM SUCESSO,0
Vamos reagendar a reunião da semana passada.,0
"Re: Recebemos uma solicitação incomum, clique aqui para detalhes",1
a entrega está prevista para sexta-feira,0
"Por favor, vamos revisar os indicadores de desempenho",0
O fornecedor confirmou o envio do material.,0
"Por favor, você precisa redefinir sua senha agora",1
"Seus dados estão em risco, clique aqui para proteger.",1
os dados foram inseridos corretamente,0
A entrega está prevista para sexta-feira Obrigado!,0
Re: Responda imediatamente para evitar penalidades,1
vamos revisar os indicadores de desempenho,0
vamos revisar os indicadores de desempenho,0
o sistema foi atualizado com sucesso,0
Vamos reagendar a reunião da semana passada.,0
"encaminhe o comprovante de pagamento, por favor",0
Re: O login foi realizado com sucesso,0
O TREINAMENTO SERÁ INICIADO ÀS 14H,0
O login foi realizado com sucesso.,0
"Por favor, os dados foram inseridos corretamente",0
Atualize suas informações bancárias imediatamente Obrigado!,1
O treinamento será iniciado às 14h.,0
"Por favor, os dados foram inseridos corretamente",0
o sistema foi atualizado com sucesso,0
Precisamos de mais informações sobre o projeto.,0
Reenvie sua senha para continuar acessando,1
O sistema foi atualizado com sucesso,0
"Re: Parabéns, você ganhou um prêmio! Responda agora",1
VAMOS REAGENDAR A REUNIÃO DA SEMANA PASSADA,0
Vamos reagendar a reunião da semana passada.,0
Re: Recebemos seu pedido e está em processamento,0
"Por favor, o backup foi realizado conforme solicitado",0
Re: O fornecedor confirmou o envio do material,0
obrigado pela atenção e colaboração,0
"Por favor, a entrega está prevista para sexta-feira",0
O LOGIN FOI REALIZADO COM SUCESSO,0
o orçamento foi aprovado pela diretoria,0
"Por favor, o sistema foi atualizado com sucesso",0
O LOGIN FOI REALIZADO COM SUCESSO,0
PRECISAMOS DE MAIS INFORMAÇÕES SOBRE O PROJETO,0
O fornecedor confirmou o envio do material.,0
"RECEBEMOS UMA SOLICITAÇÃO INCOMUM, CLIQUE AQUI PARA DETALHES",1
Re: Parabéns pela entrega do projeto,0
SEGUE O RELATÓRIO SOLICITADO,0
Re: Vamos reagendar a reunião da semana passada,0
Temos uma reunião agendada para amanhã Obrigado!,0
Vamos revisar os indicadores de desempenho Obrigado!,0
